Local time,Open,High,Low,Close,Volume
29.04.2022 23:00:00.000 GMT+0200,4.66411,4.66411,4.66411,4.66411,0
30.04.2022 23:00:00.000 GMT+0200,4.66411,4.66411,4.66411,4.66411,0
01.05.2022 23:00:00.000 GMT+0200,4.67149,4.70111,4.65001,4.68397,40466.9506
02.05.2022 23:00:00.000 GMT+0200,4.68382,4.70675,4.67783,4.68665,39115.73019999999
03.05.2022 23:00:00.000 GMT+0200,4.68657,4.69961,4.63494,4.64169,42486.6605
04.05.2022 23:00:00.000 GMT+0200,4.64156,4.69654,4.63905,4.69255,93584.39060000001
05.05.2022 23:00:00.000 GMT+0200,4.69154,4.71763,4.66329,4.69588,46210.24019999999
06.05.2022 23:00:00.000 GMT+0200,4.69588,4.69588,4.69588,4.69588,0
07.05.2022 23:00:00.000 GMT+0200,4.69588,4.69588,4.69588,4.69588,0
08.05.2022 23:00:00.000 GMT+0200,4.68499,4.72010,4.67565,4.68905,57712.520300000004
09.05.2022 23:00:00.000 GMT+0200,4.68479,4.69728,4.66836,4.67793,63421.52969999999
10.05.2022 23:00:00.000 GMT+0200,4.67781,4.68316,4.65035,4.66995,66023.51030000001
11.05.2022 23:00:00.000 GMT+0200,4.66786,4.69263,4.65472,4.65713,57647.39
12.05.2022 23:00:00.000 GMT+0200,4.65733,4.69852,4.65389,4.67197,55735.11009999999
13.05.2022 23:00:00.000 GMT+0200,4.67197,4.67197,4.67197,4.67197,0
14.05.2022 23:00:00.000 GMT+0200,4.67197,4.67197,4.67197,4.67197,0
15.05.2022 23:00:00.000 GMT+0200,4.67767,4.68273,4.64755,4.65540,43946.999599999996
16.05.2022 23:00:00.000 GMT+0200,4.65203,4.65915,4.64201,4.64865,65877.5899
17.05.2022 23:00:00.000 GMT+0200,4.64673,4.65813,4.63051,4.63983,72323.91040000001
18.05.2022 23:00:00.000 GMT+0200,4.63907,4.66051,4.62744,4.64295,82453.01049999999
19.05.2022 23:00:00.000 GMT+0200,4.64113,4.64819,4.61955,4.62226,52828.14949999998
20.05.2022 23:00:00.000 GMT+0200,4.62226,4.62226,4.62226,4.62226,0
21.05.2022 23:00:00.000 GMT+0200,4.62226,4.62226,4.62226,4.62226,0
22.05.2022 23:00:00.000 GMT+0200,4.62250,4.63099,4.59655,4.60927,42538.83989999999
23.05.2022 23:00:00.000 GMT+0200,4.60915,4.61383,4.59073,4.59245,35425.6299
24.05.2022 23:00:00.000 GMT+0200,4.59209,4.62318,4.58547,4.59478,39474.9899
25.05.2022 23:00:00.000 GMT+0200,4.59534,4.61363,4.58983,4.60215,29366.7801
26.05.2022 23:00:00.000 GMT+0200,4.60263,4.61263,4.55715,4.56261,45498.789699999994
27.05.2022 23:00:00.000 GMT+0200,4.56261,4.56261,4.56261,4.56261,0
28.05.2022 23:00:00.000 GMT+0200,4.56261,4.56261,4.56261,4.56261,0
29.05.2022 23:00:00.000 GMT+0200,4.57051,4.58713,4.55796,4.58045,30795.3497
30.05.2022 23:00:00.000 GMT+0200,4.57703,4.58763,4.56391,4.57895,49905.7104
31.05.2022 23:00:00.000 GMT+0200,4.57860,4.59724,4.57263,4.58658,59172.6
01.06.2022 23:00:00.000 GMT+0200,4.58596,4.59974,4.56922,4.56922,39134.4201
02.06.2022 23:00:00.000 GMT+0200,4.56922,4.60018,4.56818,4.57664,23845.190199999994
03.06.2022 23:00:00.000 GMT+0200,4.57664,4.57664,4.57664,4.57664,0
04.06.2022 23:00:00.000 GMT+0200,4.57664,4.57664,4.57664,4.57664,0
05.06.2022 23:00:00.000 GMT+0200,4.58433,4.59646,4.57796,4.58166,27266.0401
06.06.2022 23:00:00.000 GMT+0200,4.58110,4.59333,4.57299,4.57425,36756.01
07.06.2022 23:00:00.000 GMT+0200,4.57425,4.58995,4.56153,4.58405,34463.869999999995
08.06.2022 23:00:00.000 GMT+0200,4.58356,4.60861,4.57675,4.60454,46083.89030000001
09.06.2022 23:00:00.000 GMT+0200,4.60463,4.62174,4.59210,4.60304,42407.91000000001
10.06.2022 23:00:00.000 GMT+0200,4.60304,4.60304,4.60304,4.60304,0
11.06.2022 23:00:00.000 GMT+0200,4.60304,4.60304,4.60304,4.60304,0
12.06.2022 23:00:00.000 GMT+0200,4.58976,4.66526,4.58976,4.64596,31073.140000000003
13.06.2022 23:00:00.000 GMT+0200,4.64410,4.66461,4.63711,4.65566,39623.9607
14.06.2022 23:00:00.000 GMT+0200,4.65436,4.69310,4.64126,4.65785,95991.77999999998
15.06.2022 23:00:00.000 GMT+0200,4.65745,4.74445,4.65006,4.72213,26135.400100000003
16.06.2022 23:00:00.000 GMT+0200,4.71937,4.72616,4.67126,4.67126,28954.480299999996
17.06.2022 23:00:00.000 GMT+0200,4.67126,4.67126,4.67126,4.67126,0
18.06.2022 23:00:00.000 GMT+0200,4.67126,4.67126,4.67126,4.67126,0
19.06.2022 23:00:00.000 GMT+0200,4.67845,4.68296,4.63389,4.63520,24324.9502
20.06.2022 23:00:00.000 GMT+0200,4.63337,4.65012,4.62561,4.63415,26044.089899999995
21.06.2022 23:00:00.000 GMT+0200,4.63310,4.70176,4.63005,4.69706,34908.3602
22.06.2022 23:00:00.000 GMT+0200,4.69704,4.72202,4.67884,4.69857,23577.440100000003
23.06.2022 23:00:00.000 GMT+0200,4.69857,4.71566,4.67930,4.68120,22278.470100000006
24.06.2022 23:00:00.000 GMT+0200,4.68120,4.68120,4.68120,4.68120,0
25.06.2022 23:00:00.000 GMT+0200,4.68120,4.68120,4.68120,4.68120,0
26.06.2022 23:00:00.000 GMT+0200,4.69076,4.71114,4.67173,4.68025,27039.0902
27.06.2022 23:00:00.000 GMT+0200,4.67895,4.70174,4.66905,4.69315,31236.9399
28.06.2022 23:00:00.000 GMT+0200,4.69220,4.69785,4.66413,4.66705,19593.109699999997
29.06.2022 23:00:00.000 GMT+0200,4.66665,4.70814,4.64773,4.69569,33869.2399
30.06.2022 23:00:00.000 GMT+0200,4.69552,4.72274,4.68095,4.68363,21574.119899999998
01.07.2022 23:00:00.000 GMT+0200,4.68363,4.68363,4.68363,4.68363,0
02.07.2022 23:00:00.000 GMT+0200,4.68363,4.68363,4.68363,4.68363,0
03.07.2022 23:00:00.000 GMT+0200,4.68177,4.71945,4.68177,4.70221,47559.780099999996
04.07.2022 23:00:00.000 GMT+0200,4.70133,4.77416,4.69893,4.74566,43376.2302
05.07.2022 23:00:00.000 GMT+0200,4.74240,4.80183,4.73125,4.77249,74045.40970000002
06.07.2022 23:00:00.000 GMT+0200,4.77263,4.81062,4.75855,4.77825,32622.5698
07.07.2022 23:00:00.000 GMT+0200,4.77550,4.80704,4.75473,4.77045,48282.050200000005
08.07.2022 23:00:00.000 GMT+0200,4.77045,4.77045,4.77045,4.77045,0
09.07.2022 23:00:00.000 GMT+0200,4.77045,4.77045,4.77045,4.77045,0
10.07.2022 23:00:00.000 GMT+0200,4.76373,4.81534,4.76302,4.80005,66295.80010000001
11.07.2022 23:00:00.000 GMT+0200,4.80005,4.85009,4.79644,4.81455,39954.2502
12.07.2022 23:00:00.000 GMT+0200,4.81193,4.84678,4.80093,4.82426,70095.30049999998
13.07.2022 23:00:00.000 GMT+0200,4.82125,4.84227,4.80333,4.81416,52088.55
14.07.2022 23:00:00.000 GMT+0200,4.81329,4.82153,4.76623,4.77637,52159.6695
15.07.2022 23:00:00.000 GMT+0200,4.77637,4.77637,4.77637,4.77637,0
16.07.2022 23:00:00.000 GMT+0200,4.77637,4.77637,4.77637,4.77637,0
17.07.2022 23:00:00.000 GMT+0200,4.76737,4.80063,4.76384,4.79335,18249.8999
18.07.2022 23:00:00.000 GMT+0200,4.79227,4.79615,4.74575,4.74716,26793.470100000006
19.07.2022 23:00:00.000 GMT+0200,4.74565,4.78911,4.74247,4.76825,36202.609899999996
20.07.2022 23:00:00.000 GMT+0200,4.76528,4.77499,4.74928,4.75745,36783.2598
21.07.2022 23:00:00.000 GMT+0200,4.75492,4.77609,4.73468,4.73616,34186.329600000005
22.07.2022 23:00:00.000 GMT+0200,4.73616,4.73616,4.73616,4.73616,0
23.07.2022 23:00:00.000 GMT+0200,4.73616,4.73616,4.73616,4.73616,0
24.07.2022 23:00:00.000 GMT+0200,4.73445,4.74084,4.68915,4.72106,23113.239899999993
25.07.2022 23:00:00.000 GMT+0200,4.71997,4.76815,4.70615,4.75795,23390.5499
26.07.2022 23:00:00.000 GMT+0200,4.75677,4.80766,4.73150,4.77911,40645.920000000006
27.07.2022 23:00:00.000 GMT+0200,4.77639,4.79840,4.75105,4.75515,36707.8198
28.07.2022 23:00:00.000 GMT+0200,4.75176,4.76964,4.72135,4.73339,23667.8301
29.07.2022 23:00:00.000 GMT+0200,4.73339,4.73339,4.73339,4.73339,0
30.07.2022 23:00:00.000 GMT+0200,4.73339,4.73339,4.73339,4.73339,0
31.07.2022 23:00:00.000 GMT+0200,4.73632,4.75019,4.70689,4.71426,30407.810100000002
