Local time,Open,High,Low,Close,Volume
07.04.2018 23:00:00.000 GMT+0200,4.19518,4.19518,4.19518,4.19518,0
08.04.2018 23:00:00.000 GMT+0200,4.19438,4.20025,4.19064,4.19278,30385.1501
09.04.2018 23:00:00.000 GMT+0200,4.19278,4.20107,4.18539,4.18647,41367.6297
10.04.2018 23:00:00.000 GMT+0200,4.18738,4.19631,4.18117,4.18307,32910.9
11.04.2018 23:00:00.000 GMT+0200,4.18348,4.18981,4.17609,4.17728,35152.3498
12.04.2018 23:00:00.000 GMT+0200,4.17687,4.17928,4.16286,4.16427,33284.15020000001
13.04.2018 23:00:00.000 GMT+0200,4.16427,4.16427,4.16427,4.16427,0
14.04.2018 23:00:00.000 GMT+0200,4.16427,4.16427,4.16427,4.16427,0
15.04.2018 23:00:00.000 GMT+0200,4.16647,4.16877,4.14981,4.15157,42368.4699
16.04.2018 23:00:00.000 GMT+0200,4.15217,4.16362,4.14831,4.16238,33404.3401
17.04.2018 23:00:00.000 GMT+0200,4.16167,4.17340,4.16015,4.16277,29994.2601
18.04.2018 23:00:00.000 GMT+0200,4.16268,4.17040,4.15811,4.16618,31520.5498
19.04.2018 23:00:00.000 GMT+0200,4.16597,4.17538,4.15991,4.16857,31097.890100000008
20.04.2018 23:00:00.000 GMT+0200,4.16857,4.16857,4.16857,4.16857,0
21.04.2018 23:00:00.000 GMT+0200,4.16857,4.16857,4.16857,4.16857,0
22.04.2018 23:00:00.000 GMT+0200,4.16807,4.20506,4.16507,4.20037,32468.840000000004
23.04.2018 23:00:00.000 GMT+0200,4.20018,4.20981,4.19444,4.20577,30753.779999999995
24.04.2018 23:00:00.000 GMT+0200,4.20518,4.23845,4.20107,4.22679,37910.5901
25.04.2018 23:00:00.000 GMT+0200,4.22682,4.24032,4.22199,4.22677,33708.819800000005
26.04.2018 23:00:00.000 GMT+0200,4.22717,4.23388,4.20247,4.20247,30450.640199999998
27.04.2018 23:00:00.000 GMT+0200,4.20247,4.20247,4.20247,4.20247,0
28.04.2018 23:00:00.000 GMT+0200,4.20247,4.20247,4.20247,4.20247,0
29.04.2018 23:00:00.000 GMT+0200,4.20657,4.24162,4.20386,4.23598,32361.980499999998
30.04.2018 23:00:00.000 GMT+0200,4.23607,4.29215,4.23381,4.27327,33111.0202
01.05.2018 23:00:00.000 GMT+0200,4.25471,4.28378,4.25237,4.26698,42377.86020000001
02.05.2018 23:00:00.000 GMT+0200,4.26717,4.27958,4.25737,4.26378,28820.359999999997
03.05.2018 23:00:00.000 GMT+0200,4.26398,4.27748,4.23608,4.24421,23612.8799
04.05.2018 23:00:00.000 GMT+0200,4.24421,4.24421,4.24421,4.24421,0
05.05.2018 23:00:00.000 GMT+0200,4.24421,4.24421,4.24421,4.24421,0
06.05.2018 23:00:00.000 GMT+0200,4.23975,4.26232,4.23379,4.26007,35586.31000000001
07.05.2018 23:00:00.000 GMT+0200,4.25988,4.28831,4.25327,4.27978,31659.890100000004
08.05.2018 23:00:00.000 GMT+0200,4.27938,4.29662,4.25847,4.26197,31045.84
09.05.2018 23:00:00.000 GMT+0200,4.26177,4.26588,4.23477,4.24055,38957.2996
10.05.2018 23:00:00.000 GMT+0200,4.24052,4.26701,4.23608,4.26171,29425.8101
11.05.2018 23:00:00.000 GMT+0200,4.26171,4.26171,4.26171,4.26171,0
12.05.2018 23:00:00.000 GMT+0200,4.26171,4.26171,4.26171,4.26171,0
13.05.2018 23:00:00.000 GMT+0200,4.25914,4.27337,4.25325,4.26997,29173.320099999997
14.05.2018 23:00:00.000 GMT+0200,4.26827,4.30137,4.26297,4.29187,31972.3302
15.05.2018 23:00:00.000 GMT+0200,4.28559,4.29918,4.26928,4.27048,93851.58060000003
16.05.2018 23:00:00.000 GMT+0200,4.27048,4.29962,4.26784,4.29357,32125.3699
17.05.2018 23:00:00.000 GMT+0200,4.29378,4.30288,4.28407,4.29657,36290.429800000005
18.05.2018 23:00:00.000 GMT+0200,4.29657,4.29657,4.29657,4.29657,0
19.05.2018 23:00:00.000 GMT+0200,4.29657,4.29657,4.29657,4.29657,0
20.05.2018 23:00:00.000 GMT+0200,4.29172,4.31417,4.28794,4.28987,34754.7496
21.05.2018 23:00:00.000 GMT+0200,4.28987,4.29341,4.27040,4.28267,40898.180400000005
22.05.2018 23:00:00.000 GMT+0200,4.28138,4.31537,4.27596,4.29967,47967.2502
23.05.2018 23:00:00.000 GMT+0200,4.29987,4.31718,4.28868,4.30858,53451.31960000001
24.05.2018 23:00:00.000 GMT+0200,4.30838,4.31778,4.29527,4.30972,64113.260899999994
25.05.2018 23:00:00.000 GMT+0200,4.30972,4.30972,4.30972,4.30972,0
26.05.2018 23:00:00.000 GMT+0200,4.30972,4.30972,4.30972,4.30972,0
27.05.2018 23:00:00.000 GMT+0200,4.30997,4.31177,4.29347,4.30137,43148.56010000001
28.05.2018 23:00:00.000 GMT+0200,4.29040,4.33802,4.28175,4.33277,58920.29979999999
29.05.2018 23:00:00.000 GMT+0200,4.33297,4.34077,4.30277,4.30307,65247.64029999999
30.05.2018 23:00:00.000 GMT+0200,4.30287,4.32238,4.30117,4.31547,59494.6705
31.05.2018 23:00:00.000 GMT+0200,4.31607,4.32157,4.29763,4.29763,60528.24049999999
01.06.2018 23:00:00.000 GMT+0200,4.29763,4.29763,4.29763,4.29763,0
02.06.2018 23:00:00.000 GMT+0200,4.29763,4.29763,4.29763,4.29763,0
03.06.2018 23:00:00.000 GMT+0200,4.29475,4.30458,4.26834,4.27267,144882.379
04.06.2018 23:00:00.000 GMT+0200,4.27207,4.29047,4.26592,4.27987,59928.669699999984
05.06.2018 23:00:00.000 GMT+0200,4.27987,4.28402,4.26158,4.26537,55750.31999999999
06.06.2018 23:00:00.000 GMT+0200,4.26537,4.27926,4.25647,4.27208,60930.610100000005
07.06.2018 23:00:00.000 GMT+0200,4.27407,4.29467,4.26523,4.27227,53165.39030000001
08.06.2018 23:00:00.000 GMT+0200,4.27227,4.27227,4.27227,4.27227,0
09.06.2018 23:00:00.000 GMT+0200,4.27227,4.27227,4.27227,4.27227,0
10.06.2018 23:00:00.000 GMT+0200,4.27502,4.28008,4.25738,4.26247,50453.7805
11.06.2018 23:00:00.000 GMT+0200,4.26247,4.28262,4.25928,4.27957,93625.36940000001
12.06.2018 23:00:00.000 GMT+0200,4.27947,4.28383,4.26937,4.27327,62085.3698
13.06.2018 23:00:00.000 GMT+0200,4.27298,4.28647,4.26397,4.27948,71258.3097
14.06.2018 23:00:00.000 GMT+0200,4.27957,4.29043,4.27418,4.28158,53602.7605
15.06.2018 23:00:00.000 GMT+0200,4.28158,4.28158,4.28158,4.28158,0
16.06.2018 23:00:00.000 GMT+0200,4.28158,4.28158,4.28158,4.28158,0
17.06.2018 23:00:00.000 GMT+0200,4.27356,4.30637,4.27355,4.30178,54596.7804
18.06.2018 23:00:00.000 GMT+0200,4.30167,4.31918,4.29690,4.31127,66990.9202
19.06.2018 23:00:00.000 GMT+0200,4.30677,4.32019,4.30187,4.31397,54318.8996
20.06.2018 23:00:00.000 GMT+0200,4.31148,4.33252,4.30265,4.32237,73364.1805
21.06.2018 23:00:00.000 GMT+0200,4.32237,4.32881,4.30858,4.31817,55066.7099
22.06.2018 23:00:00.000 GMT+0200,4.31817,4.31817,4.31817,4.31817,0
23.06.2018 23:00:00.000 GMT+0200,4.31817,4.31817,4.31817,4.31817,0
24.06.2018 23:00:00.000 GMT+0200,4.31225,4.34931,4.29984,4.34138,60323.03
25.06.2018 23:00:00.000 GMT+0200,4.33997,4.34788,4.32957,4.33377,74630.38870000001
26.06.2018 23:00:00.000 GMT+0200,4.32898,4.35528,4.32044,4.35107,99839.59079999999
27.06.2018 23:00:00.000 GMT+0200,4.35098,4.36970,4.34685,4.36228,78331.3396
28.06.2018 23:00:00.000 GMT+0200,4.36247,4.37672,4.34956,4.36637,81677.12970000002
29.06.2018 23:00:00.000 GMT+0200,4.36637,4.36637,4.36637,4.36637,0
30.06.2018 23:00:00.000 GMT+0200,4.36637,4.36637,4.36637,4.36637,0
01.07.2018 23:00:00.000 GMT+0200,4.37017,4.41339,4.35921,4.39067,122410.33889999999
02.07.2018 23:00:00.000 GMT+0200,4.39068,4.41167,4.38461,4.39447,108393.81999999998
03.07.2018 23:00:00.000 GMT+0200,4.38491,4.40177,4.37503,4.38057,63072.789899999996
04.07.2018 23:00:00.000 GMT+0200,4.38029,4.38357,4.34852,4.35097,66161.6903
05.07.2018 23:00:00.000 GMT+0200,4.35067,4.36984,4.34658,4.35158,87238.4295
06.07.2018 23:00:00.000 GMT+0200,4.35158,4.35158,4.35158,4.35158,0
07.07.2018 23:00:00.000 GMT+0200,4.35158,4.35158,4.35158,4.35158,0
08.07.2018 23:00:00.000 GMT+0200,4.35377,4.35748,4.30852,4.31187,118279.93960000001
09.07.2018 23:00:00.000 GMT+0200,4.31097,4.33764,4.30677,4.31647,103400.2706
10.07.2018 23:00:00.000 GMT+0200,4.31428,4.34837,4.30627,4.33837,100471.37
11.07.2018 23:00:00.000 GMT+0200,4.33837,4.34178,4.31266,4.32177,82264.17060000001
12.07.2018 23:00:00.000 GMT+0200,4.32147,4.33118,4.30279,4.30592,73100.21059999999
13.07.2018 23:00:00.000 GMT+0200,4.30592,4.30592,4.30592,4.30592,0
14.07.2018 23:00:00.000 GMT+0200,4.30592,4.30592,4.30592,4.30592,0
15.07.2018 23:00:00.000 GMT+0200,4.30972,4.31577,4.29911,4.30058,135363.3295
16.07.2018 23:00:00.000 GMT+0200,4.30047,4.30913,4.28997,4.29547,91818.08039999999
17.07.2018 23:00:00.000 GMT+0200,4.29501,4.31324,4.29344,4.30487,98184.39999999998
18.07.2018 23:00:00.000 GMT+0200,4.30441,4.34126,4.30373,4.33288,120928.3099
19.07.2018 23:00:00.000 GMT+0200,4.33242,4.35076,4.31277,4.31454,92871.39019999998
20.07.2018 23:00:00.000 GMT+0200,4.31454,4.31454,4.31454,4.31454,0
21.07.2018 23:00:00.000 GMT+0200,4.31454,4.31454,4.31454,4.31454,0
22.07.2018 23:00:00.000 GMT+0200,4.31522,4.33097,4.31395,4.32468,62462.9899
23.07.2018 23:00:00.000 GMT+0200,4.32421,4.33548,4.29518,4.30177,82432.5405
24.07.2018 23:00:00.000 GMT+0200,4.30152,4.31041,4.28789,4.29598,72542.20960000002
25.07.2018 23:00:00.000 GMT+0200,4.29597,4.30127,4.28067,4.28387,69170.63980000002
26.07.2018 23:00:00.000 GMT+0200,4.28387,4.29737,4.27350,4.27998,63848.46030000001
27.07.2018 23:00:00.000 GMT+0200,4.27998,4.27998,4.27998,4.27998,0
28.07.2018 23:00:00.000 GMT+0200,4.27998,4.27998,4.27998,4.27998,0
29.07.2018 23:00:00.000 GMT+0200,4.27941,4.28774,4.26757,4.26947,73503.9696
30.07.2018 23:00:00.000 GMT+0200,4.26957,4.28217,4.26588,4.27507,64545.66989999999
31.07.2018 23:00:00.000 GMT+0200,4.27461,4.28268,4.25818,4.26027,60249.0699
01.08.2018 23:00:00.000 GMT+0200,4.25981,4.28417,4.25821,4.27352,56366.609899999996
02.08.2018 23:00:00.000 GMT+0200,4.27351,4.28108,4.25147,4.25817,62016.61000000001
03.08.2018 23:00:00.000 GMT+0200,4.25817,4.25817,4.25817,4.25817,0
04.08.2018 23:00:00.000 GMT+0200,4.25817,4.25817,4.25817,4.25817,0
05.08.2018 23:00:00.000 GMT+0200,4.25242,4.27617,4.25027,4.25807,57015.97020000001
06.08.2018 23:00:00.000 GMT+0200,4.25761,4.26025,4.24557,4.25777,58272.6305
07.08.2018 23:00:00.000 GMT+0200,4.25731,4.26498,4.25151,4.26207,41369.54980000001
08.08.2018 23:00:00.000 GMT+0200,4.26152,4.28003,4.25949,4.27487,57645.83959999999
09.08.2018 23:00:00.000 GMT+0200,4.27088,4.30467,4.26814,4.29057,118667.1802
10.08.2018 23:00:00.000 GMT+0200,4.29057,4.29057,4.29057,4.29057,0
11.08.2018 23:00:00.000 GMT+0200,4.29057,4.29057,4.29057,4.29057,0
12.08.2018 23:00:00.000 GMT+0200,4.30181,4.32195,4.27497,4.30087,83791.15
13.08.2018 23:00:00.000 GMT+0200,4.29490,4.30728,4.28768,4.29917,78414.23030000001
14.08.2018 23:00:00.000 GMT+0200,4.29937,4.34303,4.29427,4.32031,93954.1501
15.08.2018 23:00:00.000 GMT+0200,4.32077,4.32178,4.30012,4.30348,67157.489
16.08.2018 23:00:00.000 GMT+0200,4.30347,4.31852,4.28828,4.28887,71693.15980000002
17.08.2018 23:00:00.000 GMT+0200,4.28887,4.28887,4.28887,4.28887,0
18.08.2018 23:00:00.000 GMT+0200,4.28887,4.28887,4.28887,4.28887,0
19.08.2018 23:00:00.000 GMT+0200,4.29454,4.31607,4.29108,4.30668,70282.7402
20.08.2018 23:00:00.000 GMT+0200,4.30621,4.31074,4.28257,4.29067,59682.5199
21.08.2018 23:00:00.000 GMT+0200,4.29058,4.29638,4.26797,4.26927,81047.3908
