Local time,Open,High,Low,Close,Volume
30.04.2020 23:00:00.000 GMT+0200,4.54585,4.57102,4.53885,4.55624,33001.5899
01.05.2020 23:00:00.000 GMT+0200,4.55624,4.55624,4.55624,4.55624,0
02.05.2020 23:00:00.000 GMT+0200,4.55624,4.55624,4.55624,4.55624,0
03.05.2020 23:00:00.000 GMT+0200,4.56356,4.57020,4.54549,4.54765,46040.02010000001
04.05.2020 23:00:00.000 GMT+0200,4.54736,4.55382,4.52955,4.53575,27974.5601
05.05.2020 23:00:00.000 GMT+0200,4.53569,4.55636,4.52607,4.54706,46400.7598
06.05.2020 23:00:00.000 GMT+0200,4.54656,4.56305,4.54169,4.55071,47429.8098
07.05.2020 23:00:00.000 GMT+0200,4.55071,4.56063,4.54321,4.54322,44729.489499999996
08.05.2020 23:00:00.000 GMT+0200,4.54322,4.54322,4.54322,4.54322,0
09.05.2020 23:00:00.000 GMT+0200,4.54322,4.54322,4.54322,4.54322,0
10.05.2020 23:00:00.000 GMT+0200,4.54725,4.56461,4.54025,4.55616,47053.399600000004
11.05.2020 23:00:00.000 GMT+0200,4.55585,4.56514,4.54345,4.56205,47412.1406
12.05.2020 23:00:00.000 GMT+0200,4.56215,4.57220,4.55613,4.56435,52507.0499
13.05.2020 23:00:00.000 GMT+0200,4.56232,4.57275,4.55379,4.55606,51835.67039999999
14.05.2020 23:00:00.000 GMT+0200,4.55576,4.57072,4.54613,4.56266,65725.76999999999
15.05.2020 23:00:00.000 GMT+0200,4.56266,4.56266,4.56266,4.56266,0
16.05.2020 23:00:00.000 GMT+0200,4.56266,4.56266,4.56266,4.56266,0
17.05.2020 23:00:00.000 GMT+0200,4.56065,4.56746,4.55709,4.55945,61986.109300000004
18.05.2020 23:00:00.000 GMT+0200,4.55627,4.56474,4.54175,4.54765,68366.2996
19.05.2020 23:00:00.000 GMT+0200,4.54735,4.55485,4.52925,4.53345,57916.25
20.05.2020 23:00:00.000 GMT+0200,4.53181,4.54036,4.51035,4.51209,60497.03959999999
21.05.2020 23:00:00.000 GMT+0200,4.51209,4.52695,4.50608,4.50608,61096.85049999999
22.05.2020 23:00:00.000 GMT+0200,4.50608,4.50608,4.50608,4.50608,0
23.05.2020 23:00:00.000 GMT+0200,4.50608,4.50608,4.50608,4.50608,0
24.05.2020 23:00:00.000 GMT+0200,4.50931,4.51610,4.49387,4.49817,42350.700000000004
25.05.2020 23:00:00.000 GMT+0200,4.49817,4.50123,4.42525,4.44016,79947.77040000001
26.05.2020 23:00:00.000 GMT+0200,4.44045,4.44411,4.40539,4.42656,106945.0305
27.05.2020 23:00:00.000 GMT+0200,4.42626,4.45326,4.41316,4.45315,71123.9996
28.05.2020 23:00:00.000 GMT+0200,4.45295,4.46024,4.43909,4.44207,68558.9402
29.05.2020 23:00:00.000 GMT+0200,4.44207,4.44207,4.44207,4.44207,0
30.05.2020 23:00:00.000 GMT+0200,4.44207,4.44207,4.44207,4.44207,0
31.05.2020 23:00:00.000 GMT+0200,4.43983,4.44268,4.39739,4.40035,59289.9597
01.06.2020 23:00:00.000 GMT+0200,4.40006,4.40986,4.38046,4.38425,58575.279800000004
02.06.2020 23:00:00.000 GMT+0200,4.38379,4.41558,4.37025,4.40705,75207.31970000001
03.06.2020 23:00:00.000 GMT+0200,4.40675,4.45486,4.40506,4.43465,98626.97030000003
04.06.2020 23:00:00.000 GMT+0200,4.43446,4.45846,4.41849,4.43001,88649.1613
05.06.2020 23:00:00.000 GMT+0200,4.43001,4.43001,4.43001,4.43001,0
06.06.2020 23:00:00.000 GMT+0200,4.43001,4.43001,4.43001,4.43001,0
07.06.2020 23:00:00.000 GMT+0200,4.43175,4.45195,4.41860,4.41975,99844.0206
08.06.2020 23:00:00.000 GMT+0200,4.41866,4.45199,4.41582,4.44055,92282.77930000001
09.06.2020 23:00:00.000 GMT+0200,4.44055,4.46825,4.42995,4.44986,98213.14019999998
10.06.2020 23:00:00.000 GMT+0200,4.44605,4.48135,4.43984,4.47245,151590.5899
11.06.2020 23:00:00.000 GMT+0200,4.47315,4.47616,4.43647,4.43999,136676.37949999998
12.06.2020 23:00:00.000 GMT+0200,4.43999,4.43999,4.43999,4.43999,0
13.06.2020 23:00:00.000 GMT+0200,4.43999,4.43999,4.43999,4.43999,0
14.06.2020 23:00:00.000 GMT+0200,4.44515,4.46132,4.41406,4.41585,190649.64950000003
15.06.2020 23:00:00.000 GMT+0200,4.41336,4.45296,4.40815,4.44475,124040.66010000001
16.06.2020 23:00:00.000 GMT+0200,4.44319,4.47369,4.43602,4.46396,192791.3196
17.06.2020 23:00:00.000 GMT+0200,4.45787,4.46615,4.44545,4.44915,137918.58079999997
18.06.2020 23:00:00.000 GMT+0200,4.44705,4.46965,4.44075,4.45732,186775.25029999999
19.06.2020 23:00:00.000 GMT+0200,4.45732,4.45732,4.45732,4.45732,0
20.06.2020 23:00:00.000 GMT+0200,4.45732,4.45732,4.45732,4.45732,0
21.06.2020 23:00:00.000 GMT+0200,4.45477,4.46915,4.43535,4.44185,152868.6119
22.06.2020 23:00:00.000 GMT+0200,4.43711,4.45404,4.43056,4.44685,157394.66989999995
23.06.2020 23:00:00.000 GMT+0200,4.44337,4.45794,4.44156,4.45305,137798.78019999998
24.06.2020 23:00:00.000 GMT+0200,4.45275,4.47183,4.44645,4.44852,100475.85969999999
25.06.2020 23:00:00.000 GMT+0200,4.44843,4.47332,4.44764,4.45587,244811.96809999997
26.06.2020 23:00:00.000 GMT+0200,4.45587,4.45587,4.45587,4.45587,0
27.06.2020 23:00:00.000 GMT+0200,4.45587,4.45587,4.45587,4.45587,0
28.06.2020 23:00:00.000 GMT+0200,4.45753,4.46993,4.45455,4.45555,125541.46040000003
29.06.2020 23:00:00.000 GMT+0200,4.45408,4.46998,4.43719,4.44022,118408.96050000002
30.06.2020 23:00:00.000 GMT+0200,4.43898,4.47994,4.42994,4.47385,107701.0298
01.07.2020 23:00:00.000 GMT+0200,4.47360,4.47655,4.45975,4.46066,104980.1898
02.07.2020 23:00:00.000 GMT+0200,4.45995,4.47059,4.45239,4.45247,111878.99910000002
03.07.2020 23:00:00.000 GMT+0200,4.45247,4.45247,4.45247,4.45247,0
04.07.2020 23:00:00.000 GMT+0200,4.45247,4.45247,4.45247,4.45247,0
05.07.2020 23:00:00.000 GMT+0200,4.45784,4.47300,4.45784,4.46295,91932.1393
06.07.2020 23:00:00.000 GMT+0200,4.46079,4.47795,4.46010,4.47495,101635.17000000003
07.07.2020 23:00:00.000 GMT+0200,4.47083,4.48526,4.46938,4.47286,142501.06060000003
08.07.2020 23:00:00.000 GMT+0200,4.47064,4.47701,4.46030,4.46524,57568.73000000001
09.07.2020 23:00:00.000 GMT+0200,4.46524,4.47986,4.46164,4.46309,84452.80050000001
10.07.2020 23:00:00.000 GMT+0200,4.46309,4.46309,4.46309,4.46309,0
11.07.2020 23:00:00.000 GMT+0200,4.46309,4.46309,4.46309,4.46309,0
12.07.2020 23:00:00.000 GMT+0200,4.46069,4.49364,4.46068,4.49135,81169.3401
13.07.2020 23:00:00.000 GMT+0200,4.48856,4.49450,4.46975,4.47286,46606.67020000001
14.07.2020 23:00:00.000 GMT+0200,4.47150,4.47816,4.46655,4.47495,54209.03020000001
15.07.2020 23:00:00.000 GMT+0200,4.47289,4.49353,4.47045,4.48016,84537.42990000002
16.07.2020 23:00:00.000 GMT+0200,4.47776,4.48406,4.46923,4.47380,134275.1901
17.07.2020 23:00:00.000 GMT+0200,4.47380,4.47380,4.47380,4.47380,0
18.07.2020 23:00:00.000 GMT+0200,4.47380,4.47380,4.47380,4.47380,0
19.07.2020 23:00:00.000 GMT+0200,4.47726,4.48218,4.45338,4.45515,108827.67129999997
20.07.2020 23:00:00.000 GMT+0200,4.45455,4.46039,4.42673,4.43136,61100.329699999995
21.07.2020 23:00:00.000 GMT+0200,4.43022,4.44561,4.41549,4.42065,77299.77070000001
22.07.2020 23:00:00.000 GMT+0200,4.41986,4.42129,4.39995,4.40765,51913.9897
23.07.2020 23:00:00.000 GMT+0200,4.40626,4.41623,4.39362,4.39422,75631.4907
24.07.2020 23:00:00.000 GMT+0200,4.39422,4.39422,4.39422,4.39422,0
25.07.2020 23:00:00.000 GMT+0200,4.39422,4.39422,4.39422,4.39422,0
26.07.2020 23:00:00.000 GMT+0200,4.40235,4.40882,4.38923,4.38948,104967.02010000001
27.07.2020 23:00:00.000 GMT+0200,4.38948,4.41435,4.38675,4.41025,62044.67080000001
28.07.2020 23:00:00.000 GMT+0200,4.40614,4.42576,4.39870,4.39893,94760.9497
29.07.2020 23:00:00.000 GMT+0200,4.40440,4.42076,4.39739,4.40787,65225.3202
30.07.2020 23:00:00.000 GMT+0200,4.40798,4.41526,4.39855,4.40668,55664.7106
31.07.2020 23:00:00.000 GMT+0200,4.40668,4.40668,4.40668,4.40668,0
01.08.2020 23:00:00.000 GMT+0200,4.40668,4.40668,4.40668,4.40668,0
02.08.2020 23:00:00.000 GMT+0200,4.41195,4.42519,4.40247,4.41125,44562.9401
03.08.2020 23:00:00.000 GMT+0200,4.41107,4.41312,4.39295,4.39445,32040.380000000005
04.08.2020 23:00:00.000 GMT+0200,4.39172,4.40419,4.39024,4.40255,45396.780200000016
05.08.2020 23:00:00.000 GMT+0200,4.40230,4.41890,4.39204,4.41615,58669.55000000001
06.08.2020 23:00:00.000 GMT+0200,4.41441,4.42403,4.39712,4.41046,43086.21029999999
07.08.2020 23:00:00.000 GMT+0200,4.41046,4.41046,4.41046,4.41046,0
08.08.2020 23:00:00.000 GMT+0200,4.41046,4.41046,4.41046,4.41046,0
